round,val_macro_f1,val_micro_f1,test_macro_f1,test_micro_f1,epsilon,per_language_test,elapsed_sec
0,0.0,0.0,0.0,0.0,3.9909,"{""chn"": {""n_samples"": 1274, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 281}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 565}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 41}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 161}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 97}}}, ""deu"": {""n_samples"": 1236, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 269}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 374}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 105}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 231}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 83}}}, ""eng"": {""n_samples"": 1292, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 293}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 159}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 753}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 427}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 372}}}, ""esp"": {""n_samples"": 831, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 270}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 212}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 96}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 130}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 193}}}, ""hin"": {""n_samples"": 706, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 136}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 111}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 97}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 123}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 92}}}}",821.7
1,0.0,0.0,0.0,0.0,3.9914,"{""chn"": {""n_samples"": 1274, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 281}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 565}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 41}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 161}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 97}}}, ""deu"": {""n_samples"": 1236, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 269}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 374}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 105}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 231}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 83}}}, ""eng"": {""n_samples"": 1292, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 293}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 159}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 753}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 427}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 372}}}, ""esp"": {""n_samples"": 831, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 270}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 212}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 96}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 130}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 193}}}, ""hin"": {""n_samples"": 706, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 136}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 111}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 97}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 123}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 92}}}}",832.4
2,0.0,0.0,0.0,0.0,3.9914,"{""chn"": {""n_samples"": 1274, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 281}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 565}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 41}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 161}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 97}}}, ""deu"": {""n_samples"": 1236, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 269}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 374}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 105}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 231}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 83}}}, ""eng"": {""n_samples"": 1292, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 293}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 159}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 753}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 427}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 372}}}, ""esp"": {""n_samples"": 831, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 270}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 212}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 96}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 130}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 193}}}, ""hin"": {""n_samples"": 706, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 136}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 111}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 97}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 123}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 92}}}}",829.5
3,0.0,0.0,0.0,0.0,3.9909,"{""chn"": {""n_samples"": 1274, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 281}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 565}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 41}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 161}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 97}}}, ""deu"": {""n_samples"": 1236, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 269}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 374}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 105}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 231}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 83}}}, ""eng"": {""n_samples"": 1292, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 293}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 159}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 753}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 427}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 372}}}, ""esp"": {""n_samples"": 831, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 270}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 212}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 96}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 130}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 193}}}, ""hin"": {""n_samples"": 706, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 136}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 111}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 97}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 123}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 92}}}}",826.7
4,0.0071,0.0089,0.0077,0.0098,3.9909,"{""chn"": {""n_samples"": 1274, ""macro_f1"": 0.01288135593220339, ""micro_f1"": 0.03247863247863248, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 281}, ""anger"": {""f1"": 0.06440677966101695, ""precision"": 0.76, ""recall"": 0.033628318584070796, ""support"": 565}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 41}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 161}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 97}}}, ""deu"": {""n_samples"": 1236, ""macro_f1"": 0.009278350515463918, ""micro_f1"": 0.016728624535315983, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 269}, ""anger"": {""f1"": 0.04639175257731959, ""precision"": 0.6428571428571429, ""recall"": 0.02406417112299465, ""support"": 374}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 105}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 231}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 83}}}, ""eng"": {""n_samples"": 1292, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 293}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 159}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 753}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 427}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 372}}}, ""esp"": {""n_samples"": 831, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 270}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 212}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 96}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 130}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 193}}}, ""hin"": {""n_samples"": 706, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 136}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 111}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 97}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 123}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 92}}}}",836.9
