round,val_macro_f1,val_micro_f1,test_macro_f1,test_micro_f1,epsilon,per_language_test,elapsed_sec
0,0.0,0.0,0.0,0.0,3.9919,"{""chn"": {""n_samples"": 1234, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 227}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 575}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 31}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 193}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 81}}}, ""deu"": {""n_samples"": 1227, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 248}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 388}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 125}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 247}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 72}}}, ""eng"": {""n_samples"": 1253, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 285}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 142}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 715}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 401}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 396}}}, ""esp"": {""n_samples"": 882, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 287}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 208}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 134}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 135}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 183}}}, ""hin"": {""n_samples"": 743, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 126}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 114}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 109}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 123}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 88}}}}",824.5
1,0.0,0.0,0.0,0.0,3.9915,"{""chn"": {""n_samples"": 1234, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 227}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 575}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 31}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 193}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 81}}}, ""deu"": {""n_samples"": 1227, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 248}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 388}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 125}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 247}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 72}}}, ""eng"": {""n_samples"": 1253, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 285}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 142}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 715}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 401}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 396}}}, ""esp"": {""n_samples"": 882, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 287}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 208}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 134}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 135}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 183}}}, ""hin"": {""n_samples"": 743, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 126}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 114}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 109}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 123}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 88}}}}",878.7
2,0.0,0.0,0.0,0.0,3.9919,"{""chn"": {""n_samples"": 1234, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 227}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 575}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 31}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 193}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 81}}}, ""deu"": {""n_samples"": 1227, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 248}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 388}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 125}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 247}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 72}}}, ""eng"": {""n_samples"": 1253, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 285}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 142}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 715}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 401}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 396}}}, ""esp"": {""n_samples"": 882, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 287}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 208}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 134}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 135}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 183}}}, ""hin"": {""n_samples"": 743, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 126}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 114}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 109}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 123}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 88}}}}",828.4
3,0.0,0.0,0.0,0.0,3.9912,"{""chn"": {""n_samples"": 1234, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 227}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 575}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 31}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 193}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 81}}}, ""deu"": {""n_samples"": 1227, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 248}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 388}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 125}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 247}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 72}}}, ""eng"": {""n_samples"": 1253, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 285}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 142}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 715}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 401}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 396}}}, ""esp"": {""n_samples"": 882, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 287}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 208}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 134}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 135}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 183}}}, ""hin"": {""n_samples"": 743, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 126}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 114}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 109}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 123}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 88}}}}",838.4
4,0.0391,0.0539,0.0369,0.0512,3.9919,"{""chn"": {""n_samples"": 1234, ""macro_f1"": 0.07684210526315789, ""micro_f1"": 0.2260061919504644, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 227}, ""anger"": {""f1"": 0.38421052631578945, ""precision"": 0.7891891891891892, ""recall"": 0.2539130434782609, ""support"": 575}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 31}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 193}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 81}}}, ""deu"": {""n_samples"": 1227, ""macro_f1"": 0.003061224489795918, ""micro_f1"": 0.005535055350553505, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 248}, ""anger"": {""f1"": 0.015306122448979591, ""precision"": 0.75, ""recall"": 0.007731958762886598, ""support"": 388}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 125}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 247}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 72}}}, ""eng"": {""n_samples"": 1253, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 285}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 142}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 715}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 401}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 396}}}, ""esp"": {""n_samples"": 882, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 287}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 208}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 134}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 135}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 183}}}, ""hin"": {""n_samples"": 743, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 126}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 114}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 109}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 123}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 88}}}}",836.1
