round,val_macro_f1,val_micro_f1,test_macro_f1,test_micro_f1,epsilon,per_language_test,elapsed_sec
0,0.0,0.0,0.0,0.0,3.9972,"{""chn"": {""n_samples"": 1275, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 248}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 579}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 38}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 160}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 91}}}, ""deu"": {""n_samples"": 1230, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 252}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 386}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 115}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 242}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 56}}}, ""eng"": {""n_samples"": 1225, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 319}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 154}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 685}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 400}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 356}}}, ""esp"": {""n_samples"": 871, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 289}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 189}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 110}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 132}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 194}}}, ""hin"": {""n_samples"": 738, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 137}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 104}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 104}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 127}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 102}}}}",807.8
1,0.0,0.0,0.0,0.0,3.9972,"{""chn"": {""n_samples"": 1275, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 248}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 579}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 38}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 160}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 91}}}, ""deu"": {""n_samples"": 1230, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 252}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 386}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 115}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 242}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 56}}}, ""eng"": {""n_samples"": 1225, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 319}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 154}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 685}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 400}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 356}}}, ""esp"": {""n_samples"": 871, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 289}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 189}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 110}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 132}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 194}}}, ""hin"": {""n_samples"": 738, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 137}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 104}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 104}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 127}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 102}}}}",825.9
2,0.0,0.0,0.0003,0.0004,3.9967,"{""chn"": {""n_samples"": 1275, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 248}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 579}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 38}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 160}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 91}}}, ""deu"": {""n_samples"": 1230, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 252}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 386}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 115}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 242}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 56}}}, ""eng"": {""n_samples"": 1225, ""macro_f1"": 0.00125, ""micro_f1"": 0.0010443864229765013, ""per_label"": {""joy"": {""f1"": 0.00625, ""precision"": 1.0, ""recall"": 0.003134796238244514, ""support"": 319}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 154}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 685}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 400}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 356}}}, ""esp"": {""n_samples"": 871, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 289}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 189}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 110}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 132}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 194}}}, ""hin"": {""n_samples"": 738, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 137}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 104}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 104}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 127}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 102}}}}",824.1
3,0.081,0.1251,0.0821,0.1329,3.9972,"{""chn"": {""n_samples"": 1275, ""macro_f1"": 0.13806921675774136, ""micro_f1"": 0.4636085626911315, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 248}, ""anger"": {""f1"": 0.6903460837887068, ""precision"": 0.7302504816955684, ""recall"": 0.6545768566493955, ""support"": 579}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 38}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 160}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 91}}}, ""deu"": {""n_samples"": 1230, ""macro_f1"": 0.012776412776412777, ""micro_f1"": 0.024253731343283583, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 252}, ""anger"": {""f1"": 0.06388206388206388, ""precision"": 0.6190476190476191, ""recall"": 0.03367875647668394, ""support"": 386}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 115}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 242}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 56}}}, ""eng"": {""n_samples"": 1225, ""macro_f1"": 0.00125, ""micro_f1"": 0.0010438413361169101, ""per_label"": {""joy"": {""f1"": 0.00625, ""precision"": 1.0, ""recall"": 0.003134796238244514, ""support"": 319}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 154}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 685}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 400}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 356}}}, ""esp"": {""n_samples"": 871, ""macro_f1"": 0.0020942408376963353, ""micro_f1"": 0.002183406113537118, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 289}, ""anger"": {""f1"": 0.010471204188481676, ""precision"": 0.5, ""recall"": 0.005291005291005291, ""support"": 189}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 110}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 132}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 194}}}, ""hin"": {""n_samples"": 738, ""macro_f1"": 0.04166666666666667, ""micro_f1"": 0.048859934853420196, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 137}, ""anger"": {""f1"": 0.20833333333333334, ""precision"": 0.375, ""recall"": 0.14423076923076922, ""support"": 104}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 104}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 127}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 102}}}}",831.5
4,0.1161,0.2132,0.1196,0.2295,3.9967,"{""chn"": {""n_samples"": 1275, ""macro_f1"": 0.15440180586907448, ""micro_f1"": 0.5498392282958199, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 248}, ""anger"": {""f1"": 0.7720090293453724, ""precision"": 0.684, ""recall"": 0.8860103626943006, ""support"": 579}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 38}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 160}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 91}}}, ""deu"": {""n_samples"": 1230, ""macro_f1"": 0.1134238310708899, ""micro_f1"": 0.28313253012048195, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 252}, ""anger"": {""f1"": 0.5671191553544495, ""precision"": 0.6787003610108303, ""recall"": 0.48704663212435234, ""support"": 386}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 115}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 242}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 56}}}, ""eng"": {""n_samples"": 1225, ""macro_f1"": 0.006273682565725224, ""micro_f1"": 0.003121748178980229, ""per_label"": {""joy"": {""f1"": 0.006211180124223602, ""precision"": 0.3333333333333333, ""recall"": 0.003134796238244514, ""support"": 319}, ""anger"": {""f1"": 0.025157232704402517, ""precision"": 0.4, ""recall"": 0.012987012987012988, ""support"": 154}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 685}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 400}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 356}}}, ""esp"": {""n_samples"": 871, ""macro_f1"": 0.05500000000000001, ""micro_f1"": 0.06839378238341969, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 289}, ""anger"": {""f1"": 0.275, ""precision"": 0.6470588235294118, ""recall"": 0.1746031746031746, ""support"": 189}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 110}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 132}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 194}}}, ""hin"": {""n_samples"": 738, ""macro_f1"": 0.07450980392156863, ""micro_f1"": 0.11275964391691394, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 137}, ""anger"": {""f1"": 0.37254901960784315, ""precision"": 0.38, ""recall"": 0.36538461538461536, ""support"": 104}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 104}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 127}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 102}}}}",822.7
