round,val_macro_f1,val_micro_f1,test_macro_f1,test_micro_f1,epsilon,per_language_test,elapsed_sec
0,0.0,0.0,0.0,0.0,3.994,"{""chn"": {""n_samples"": 1325, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 258}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 623}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 23}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 187}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 92}}}, ""deu"": {""n_samples"": 1220, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 247}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 352}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 95}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 241}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 70}}}, ""eng"": {""n_samples"": 1228, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 297}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 129}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 679}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 401}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 370}}}, ""esp"": {""n_samples"": 833, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 273}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 198}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 109}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 140}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 192}}}, ""hin"": {""n_samples"": 733, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 132}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 160}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 97}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 143}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 82}}}}",869.8
1,0.0,0.0,0.0,0.0,3.994,"{""chn"": {""n_samples"": 1325, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 258}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 623}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 23}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 187}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 92}}}, ""deu"": {""n_samples"": 1220, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 247}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 352}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 95}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 241}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 70}}}, ""eng"": {""n_samples"": 1228, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 297}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 129}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 679}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 401}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 370}}}, ""esp"": {""n_samples"": 833, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 273}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 198}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 109}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 140}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 192}}}, ""hin"": {""n_samples"": 733, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 132}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 160}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 97}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 143}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 82}}}}",837.7
2,0.0,0.0,0.0,0.0,3.994,"{""chn"": {""n_samples"": 1325, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 258}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 623}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 23}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 187}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 92}}}, ""deu"": {""n_samples"": 1220, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 247}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 352}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 95}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 241}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 70}}}, ""eng"": {""n_samples"": 1228, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 297}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 129}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 679}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 401}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 370}}}, ""esp"": {""n_samples"": 833, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 273}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 198}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 109}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 140}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 192}}}, ""hin"": {""n_samples"": 733, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 132}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 160}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 97}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 143}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 82}}}}",893.9
3,0.0,0.0,0.0,0.0,3.994,"{""chn"": {""n_samples"": 1325, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 258}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 623}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 23}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 187}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 92}}}, ""deu"": {""n_samples"": 1220, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 247}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 352}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 95}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 241}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 70}}}, ""eng"": {""n_samples"": 1228, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 297}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 129}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 679}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 401}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 370}}}, ""esp"": {""n_samples"": 833, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 273}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 198}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 109}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 140}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 192}}}, ""hin"": {""n_samples"": 733, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 132}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 160}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 97}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 143}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 82}}}}",891.8
4,0.0248,0.0327,0.0294,0.0414,3.9937,"{""chn"": {""n_samples"": 1325, ""macro_f1"": 0.060590500641848524, ""micro_f1"": 0.17625093353248694, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 258}, ""anger"": {""f1"": 0.3029525032092426, ""precision"": 0.7564102564102564, ""recall"": 0.18940609951845908, ""support"": 623}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 23}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 187}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 92}}}, ""deu"": {""n_samples"": 1220, ""macro_f1"": 0.0011299435028248588, ""micro_f1"": 0.0019860973187686196, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 247}, ""anger"": {""f1"": 0.005649717514124294, ""precision"": 0.5, ""recall"": 0.002840909090909091, ""support"": 352}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 95}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 241}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 70}}}, ""eng"": {""n_samples"": 1228, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 297}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 129}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 679}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 401}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 370}}}, ""esp"": {""n_samples"": 833, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 273}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 198}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 109}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 140}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 192}}}, ""hin"": {""n_samples"": 733, ""macro_f1"": 0.0, ""micro_f1"": 0.0, ""per_label"": {""joy"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 132}, ""anger"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 160}, ""fear"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 97}, ""sadness"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 143}, ""surprise"": {""f1"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 82}}}}",846.0
