round,val_macro_f1,val_micro_f1,test_macro_f1,test_micro_f1,epsilon,elapsed_sec
0,0.7053,0.7504,0.7037,0.7493,,125.3
1,0.7606,0.7899,0.7558,0.7803,,133.5
2,0.7834,0.8206,0.8023,0.8247,,130.4
3,0.8135,0.8386,0.8154,0.8352,,130.2
4,0.8001,0.826,0.8124,0.8344,,130.4
